,name,categories,genres,steamspy_tags,time_engaged_index,time_engaged_category,player_acclaim_index,player_acclaim_category,adopters_choice_index,adopters_choice_category,game_nexus_index,game_nexus_category
662,Fragments of Him,Single-player;Full controller support;Steam Trading Cards,Casual;Indie,Indie;Casual;Visual Novel,0.04173469387755102,AboveAverage,0.6662244897959184,Excellent,0.12673469387755104,AboveAverage,0.2754489795918368,AboveAverage
663,Alien Shooter,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Action;Shooter;Indie,0.06949838187702265,Excellent,0.8259708737864078,Masterpiece,0.49449838187702266,Masterpiece,0.45868932038834953,Outstanding
664,Nice Slice,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Indie,Indie,0.0337878787878788,BelowAverage,0.5231818181818182,BelowAverage,0.1187878787878788,BelowAverage,0.22300000000000003,BelowAverage
665,Unveloped,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Adventure;Casual;Indie,Adventure;Indie;Casual,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
666,City Siege: Faction Island,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Strategy,Action;Strategy;Indie,0.036000000000000004,Average,0.5630000000000001,Average,0.12100000000000001,Average,0.2376,Average
667,Jesus Christ RPG Trilogy,Single-player;Partial Controller Support;Steam Cloud,Free to Play;RPG,Illuminati;Memes;Psychological Horror,0.3741519675880248,Outstanding,0.787123685259813,Outstanding,0.4190145080446231,Masterpiece,0.5214957530945121,Masterpiece
668,Pi is Everything,Single-player;Steam Achievements;Stats,Casual;Indie,Indie;Casual,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
669,Recursive Pain,Multi-player;Online Multi-Player,Action;Casual;Indie;Massively Multiplayer;Early Access,Early Access;Action;Indie,0.03530303030303031,BelowAverage,0.5504545454545455,Average,0.12030303030303031,BelowAverage,0.233,BelowAverage
670,Days of War,Online Multi-Player,Violent;Action;Early Access,Early Access;World War II;Action,0.03188449848024316,Mediocre,0.40392097264437693,Unacceptable,0.20188449848024317,Good,0.21043768996960488,Mediocre
671,Digital Runner,Single-player;Steam Achievements;Stats;Steam Leaderboards,Casual;Indie,Indie;Casual,0.031086956521739133,Mediocre,0.47456521739130436,Mediocre,0.11608695652173914,Mediocre,0.20517391304347826,Subpar
672,Neon Valley: Revenge,Single-player;Multi-player;Online Multi-Player,Action;Indie;Early Access,Early Access;Action;Indie,0.035,BelowAverage,0.545,Average,0.12000000000000001,BelowAverage,0.231,BelowAverage
673,月之暗面 The Dark Side Of The Moon,Single-player;Online Multi-Player,Casual;Free to Play;Indie;Strategy,Free to Play;Casual;Strategy,0.03898550724637682,Average,0.5317391304347826,Average,0.20898550724637682,Excellent,0.25730434782608697,AboveAverage
674,EMERGENCY 3,Single-player;Includes level editor,Simulation;Strategy,Simulation;Strategy;RTS,0.034710144927536234,BelowAverage,0.5397826086956522,Average,0.11971014492753625,BelowAverage,0.22908695652173913,BelowAverage
675,Zombie Pinball,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Casual,Casual;Pinball;Arcade,0.030438596491228074,Subpar,0.4628947368421053,Subpar,0.11543859649122809,Subpar,0.2008947368421053,Subpar
676,Leave The Nest,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,0.035,BelowAverage,0.545,Average,0.12000000000000001,BelowAverage,0.231,BelowAverage
677,9Grids VR,Single-player,Action;Casual;Indie,Action;Indie;Casual,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
678,Scorch,Single-player;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie,Action;Indie;Casual,0.03304878048780488,BelowAverage,0.5098780487804879,BelowAverage,0.1180487804878049,BelowAverage,0.21812195121951222,Mediocre
